Name,Linked Field,MP_Average/k,PTS_Average/k,TRB_Average/k,AST_Average/k,FG_Perc_Average,WS_Average
First Round Player,"1,3,2,4,5,6,7,8,9,10,11,13,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",6.492,2.942,1.184,0.593,0.44,11.163
Second Round Player,"31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60",3.222,1.452,0.567,0.315,0.424,5.227
